arm,episode,label,split,success,moves_used,steps,optimal_moves,excess_moves,invalid_moves,repeated_moves,trap_activations,cells_visited,cells_seen,path_efficiency,exploration_efficiency,iterations,duration_s,llm_calls,llm_failed,llm_empty,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,avg_llm_latency_s,prompt_chars,http_429,retrieval_calls,retrieved_total,iterations_with_memory,writes_insert,writes_merge,store_calls,points_after,learnings_created,rule_updates,known_rules_final
A-OFF,1,EP01-train,train,1,5,5,4,1,1,0,0,5,21,0.8,0.8,5,1090.86,36,0,0,56070,179370,144008,235440,29.362,209558,0,0,0,0,83,0,83,83,27,5,5
A-OFF,2,EP02-train,train,1,4,4,4,0,0,0,0,5,21,1.0,1.0,4,523.38,28,0,0,38951,105628,74799,144579,17.702,145409,0,0,0,0,104,2,106,187,18,4,8
A-OFF,3,EP03-train,train,1,5,5,4,1,1,0,0,5,21,0.8,0.8,5,908.01,35,0,0,51451,172003,140074,223454,23.065,191261,0,0,0,0,73,0,73,260,29,5,6
A-OFF,4,EP04-train,train,1,5,5,4,1,1,0,0,5,21,0.8,0.8,5,645.89,35,0,0,49966,131716,95524,181682,17.602,186427,0,0,0,0,103,0,103,363,25,5,4
A-OFF,5,EP05-train,train,1,4,4,4,0,0,0,0,5,21,1.0,1.0,4,511.79,28,0,0,36569,100001,70683,136570,17.453,135858,0,0,0,0,86,2,88,449,20,4,4
A-OFF,16,EP16-eval,eval,1,5,5,4,1,1,0,0,5,21,0.8,0.8,5,751.39,36,0,0,52148,157218,117876,209366,19.935,196053,0,0,0,0,103,2,105,552,29,5,2
B-ON,1,EP01-train,train,1,4,4,4,0,0,0,0,5,21,1.0,1.0,4,485.6,28,0,0,35865,97665,76977,133530,16.918,133079,0,4,0,0,42,0,42,42,18,4,6
B-ON,2,EP02-train,train,1,5,5,4,1,1,0,0,5,21,0.8,0.8,5,875.56,35,0,0,51396,152522,122796,203918,22.653,191547,0,5,10,5,65,0,65,107,26,5,5
B-ON,3,EP03-train,train,1,4,4,4,0,0,0,0,5,21,1.0,1.0,4,494.22,28,0,0,39909,91203,65044,131112,16.516,146556,0,4,20,4,75,0,75,182,21,4,6
B-ON,4,EP04-train,train,1,5,5,4,1,1,0,0,5,21,0.8,0.8,5,659.17,32,0,0,52496,130401,101283,182897,19.492,191552,0,5,25,5,64,4,68,246,21,5,8
B-ON,5,EP05-train,train,1,4,4,4,0,0,0,0,5,21,1.0,1.0,4,794.76,29,0,0,37907,134791,106439,172698,26.691,143275,0,4,20,4,75,1,76,321,22,4,4
B-ON,16,EP16-eval,eval,1,4,4,4,0,0,0,0,5,21,1.0,1.0,4,847.15,29,0,0,40935,128688,99935,169623,26.905,150408,0,4,20,4,81,4,85,402,18,4,5
